is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,condition,metric_name,metric_direction,value,n_valid,replicate_id,seed,mapping_scope,pcmci_feature_count,null_feature_count,input_count_preserved,lag_identity_preserved
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,lag_shift_-2,velocity_rmse,lower_is_better,1.12,120,MOCK_R000,20260908,outer_train_only,9,9,True,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,random_region,velocity_rmse,lower_is_better,1.13,120,MOCK_R000,20260908,outer_train_only,9,9,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,matched_sparsity,velocity_rmse,lower_is_better,1.10,120,MOCK_R000,20260908,outer_train_only,9,9,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,time_shuffle,velocity_rmse,lower_is_better,1.19,120,MOCK_R000,20260908,outer_train_only,9,9,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,lag_shift_-2,velocity_rmse,lower_is_better,1.16,120,MOCK_R000,20260908,outer_train_only,10,10,True,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,random_region,velocity_rmse,lower_is_better,1.17,120,MOCK_R000,20260908,outer_train_only,10,10,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,matched_sparsity,velocity_rmse,lower_is_better,1.14,120,MOCK_R000,20260908,outer_train_only,10,10,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,time_shuffle,velocity_rmse,lower_is_better,1.23,120,MOCK_R000,20260908,outer_train_only,10,10,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,lag_shift_-2,velocity_rmse,lower_is_better,1.11,120,MOCK_R000,20260908,outer_train_only,11,11,True,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,random_region,velocity_rmse,lower_is_better,1.12,120,MOCK_R000,20260908,outer_train_only,11,11,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,matched_sparsity,velocity_rmse,lower_is_better,1.09,120,MOCK_R000,20260908,outer_train_only,11,11,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,time_shuffle,velocity_rmse,lower_is_better,1.18,120,MOCK_R000,20260908,outer_train_only,11,11,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,lag_shift_-2,velocity_rmse,lower_is_better,1.14,120,MOCK_R000,20260908,outer_train_only,8,8,True,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,random_region,velocity_rmse,lower_is_better,1.15,120,MOCK_R000,20260908,outer_train_only,8,8,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,matched_sparsity,velocity_rmse,lower_is_better,1.12,120,MOCK_R000,20260908,outer_train_only,8,8,True,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,time_shuffle,velocity_rmse,lower_is_better,1.21,120,MOCK_R000,20260908,outer_train_only,8,8,True,True
